epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,76.9421,0.95035,0.58355,0.92107,0.95589,0.77434,0.78721,0.53564,1.29549,1.33687,1.02183,0.0012938,0.0012938,0.0012938
109,77.6973,0.93115,0.58176,0.92156,0.95589,0.77434,0.78721,0.53564,1.29549,1.33687,1.02183,0.0012872,0.0012872,0.0012872
110,78.4963,0.78576,0.60727,0.91675,0.95118,0.69625,0.78121,0.56917,1.15222,1.26335,0.96348,0.0012806,0.0012806,0.0012806
111,79.2239,0.90446,0.64561,0.9074,0.95118,0.69625,0.78121,0.56917,1.15222,1.26335,0.96348,0.001274,0.001274,0.001274
112,80.0292,0.88287,0.57738,0.91727,0.9517,0.75,0.79279,0.5673,1.17236,1.13468,0.96676,0.0012674,0.0012674,0.0012674
113,80.772,0.91178,0.75181,0.96344,0.9517,0.75,0.79279,0.5673,1.17236,1.13468,0.96676,0.0012608,0.0012608,0.0012608
114,81.5541,0.91827,0.68154,0.89221,1,0.78388,0.82608,0.5738,1.21473,1.01623,0.97987,0.0012542,0.0012542,0.0012542
115,82.2901,0.87303,0.58014,0.88121,1,0.78388,0.82608,0.5738,1.21473,1.01623,0.97987,0.0012476,0.0012476,0.0012476
116,83.0709,0.78045,0.57034,0.86068,0.99756,0.78571,0.8339,0.57467,1.23098,0.99685,0.98904,0.001241,0.001241,0.001241
117,83.7496,0.81667,0.54117,0.89069,0.99756,0.78571,0.8339,0.57467,1.23098,0.99685,0.98904,0.0012344,0.0012344,0.0012344
118,84.4793,0.87054,0.58466,0.89728,0.99734,0.78571,0.84481,0.59066,1.19143,0.95993,0.97963,0.0012278,0.0012278,0.0012278
119,85.268,0.77686,0.52926,0.91409,0.99734,0.78571,0.84481,0.59066,1.19143,0.95993,0.97963,0.0012212,0.0012212,0.0012212
120,85.9982,0.8146,0.53647,0.90057,0.99634,0.78571,0.82865,0.5873,1.18169,0.97094,0.98218,0.0012146,0.0012146,0.0012146
121,86.6861,0.83892,0.57764,0.88669,0.99634,0.78571,0.82865,0.5873,1.18169,0.97094,0.98218,0.001208,0.001208,0.001208
122,87.3658,0.9032,0.56493,0.91272,1,0.81802,0.85164,0.58286,1.18001,0.94113,0.98188,0.0012014,0.0012014,0.0012014
